key	fr	es
Speak naturally	Parlez naturellement	Habla con naturalidad
Finishing locally…	Finalisation locale…	Finalizando localmente…
Saving…	Enregistrement…	Guardando…
my address	mon adresse	mi dirección
Clean up text	Nettoyer le texte	Limpiar texto
Delete this comparison	Supprimer cette comparaison	Eliminar esta comparación
running second engine…	exécution du second moteur…	ejecutando el segundo motor…
Edit the text first. Dictate can fill the field, but nothing is saved until you choose Save correction.	Modifiez d’abord le texte. La dictée peut remplir le champ, mais rien n’est enregistré avant de choisir Enregistrer la correction.	Edita primero el texto. El dictado puede rellenar el campo, pero no se guarda nada hasta que elijas Guardar corrección.
The corrected history will be saved without adding this rule to the dictionary.	L’historique corrigé sera enregistré sans ajouter cette règle au dictionnaire.	El historial corregido se guardará sin añadir esta regla al diccionario.
Downloads and prepares a verified Murmure release when one is available	Télécharge et prépare une version vérifiée de Murmure lorsqu’elle est disponible	Descarga y prepara una versión verificada de Murmure cuando está disponible
Replaces the installed bundle with the verified GitHub release	Remplace l’application installée par la version GitHub vérifiée	Sustituye la aplicación instalada por la versión verificada de GitHub
Use %@ to dictate	Utilisez %@ pour dicter	Usa %@ para dictar
Use %@, say a sentence, then finish the configured gesture.	Utilisez %@, prononcez une phrase, puis terminez le geste configuré.	Usa %@, di una frase y completa el gesto configurado.
Local transformation for selected text in %@.	Transformation locale du texte sélectionné dans %@.	Transformación local del texto seleccionado en %@.
Migration: %@	Migration : %@	Migración: %@
%@ ready	%@ prêt	%@ listo
%@ needs attention	%@ nécessite votre attention	%@ necesita atención
%d enabled · %d total	%d activés · %d au total	%d activados · %d en total
%d recording	%d enregistrement	%d grabación
%d recordings	%d enregistrements	%d grabaciones
 · fastest	 · le plus rapide	 · el más rápido
(nothing recognized)	(rien de reconnu)	(no se reconoció nada)
%d entry	%d entrée	%d entrada
%d entries	%d entrées	%d entradas
%@ (unavailable)	%@ (indisponible)	%@ (no disponible)
Snippet applied: %@	Extrait appliqué : %@	Fragmento aplicado: %@
%d dictionary correction	%d correction du dictionnaire	%d corrección del diccionario
%d dictionary corrections	%d corrections du dictionnaire	%d correcciones del diccionario
Snippet · %@	Extrait · %@	Fragmento · %@
%@× realtime · %d chars	%@× temps réel · %d caractères	%@× tiempo real · %d caracteres
Local transformation unavailable: %@ There is no network fallback.	Transformation locale indisponible : %@ Il n’existe aucun recours au réseau.	Transformación local no disponible: %@ No hay alternativa en red.
Parakeet uses %@ as an on-device decoder hint.	Parakeet utilise %@ comme indication de décodage sur l’appareil.	Parakeet usa %@ como pista de decodificación en el dispositivo.
Apple Speech · %@ · On-device model installed.	Reconnaissance Apple · %@ · Modèle sur l’appareil installé.	Reconocimiento de Apple · %@ · Modelo en el dispositivo instalado.
Apple Speech · %@ · The system downloads its on-device model once when first used.	Reconnaissance Apple · %@ · Le système télécharge une fois son modèle sur l’appareil lors de la première utilisation.	Reconocimiento de Apple · %@ · El sistema descarga una vez su modelo en el dispositivo al usarlo por primera vez.
Smart cleanup does not support %@; deterministic local cleanup will be used.	Le nettoyage intelligent ne prend pas en charge %@ ; le nettoyage local déterministe sera utilisé.	La limpieza inteligente no admite %@; se usará la limpieza local determinista.
Listening to %@. Test audio is not saved.	Écoute de %@. L’audio de test n’est pas enregistré.	Escuchando %@. El audio de prueba no se guarda.
Version %@ (%@) is ready to install.	La version %@ (%@) est prête à être installée.	La versión %@ (%@) está lista para instalarse.
Update unavailable: %@	Mise à jour indisponible : %@	Actualización no disponible: %@
%@ %.1f× faster · %.2fs ahead	%@ est %.1f× plus rapide · %.2fs d’avance	%@ es %.1f× más rápido · %.2fs de ventaja
%@ · held %@s	%@ · maintenu %@s	%@ · mantenido %@s
identical	identiques	idénticos
same words	mêmes mots	mismas palabras
words differ	mots différents	palabras diferentes
tied	égalité	empate
Needs attention: %@	Nécessite votre attention : %@	Necesita atención: %@
(Nothing recognized)	(Rien de reconnu)	(No se reconoció nada)
Checking Apple's on-device model availability…	Vérification de la disponibilité du modèle Apple sur l’appareil…	Comprobando la disponibilidad del modelo de Apple en el dispositivo…
Apple's on-device model is ready. Selected text and instructions are never stored or sent to a server.	Le modèle Apple sur l’appareil est prêt. Le texte sélectionné et les instructions ne sont jamais stockés ni envoyés à un serveur.	El modelo de Apple en el dispositivo está listo. El texto seleccionado y las instrucciones nunca se guardan ni se envían a un servidor.
Parakeet automatically recognizes 25 European languages on-device.	Parakeet reconnaît automatiquement 25 langues européennes sur l’appareil.	Parakeet reconoce automáticamente 25 idiomas europeos en el dispositivo.
Checking Apple's on-device language assets…	Vérification des ressources linguistiques Apple sur l’appareil…	Comprobando los recursos de idioma de Apple en el dispositivo…
Apple Speech does not support this language on this Mac. Nothing will fall back to English.	La reconnaissance Apple ne prend pas en charge cette langue sur ce Mac. Aucun retour à l’anglais ne sera effectué.	El reconocimiento de Apple no admite este idioma en este Mac. No se usará el inglés como alternativa.
Murmure needs Microphone to listen and Accessibility to detect the global key and insert text into the focused app.	Murmure a besoin du Microphone pour écouter et de l’Accessibilité pour détecter le raccourci global et insérer le texte dans l’app active.	Murmure necesita acceso al Micrófono para escuchar y a Accesibilidad para detectar el atajo global e insertar texto en la app activa.
External storage ready	Stockage externe prêt	Almacenamiento externo listo
Reconnect external drive	Reconnectez le disque externe	Vuelve a conectar la unidad externa
Local emergency storage	Stockage local d’urgence	Almacenamiento local de emergencia
Audio, history, dictionary, and settings save to %@.	L’audio, l’historique, le dictionnaire et les réglages sont enregistrés dans %@.	El audio, el historial, el diccionario y los ajustes se guardan en %@.
Automatically delete history older than	Supprimer automatiquement l’historique datant de plus de	Eliminar automáticamente el historial anterior a
Never	Jamais	Nunca
1 week	1 semaine	1 semana
30 days	30 jours	30 días
6 months	6 mois	6 meses
1 year	1 an	1 año
History cleanup deletes transcripts and their saved audio. Dictionary, Snippets, settings, and speech models are never removed.	Le nettoyage de l’historique supprime les transcriptions et leur audio enregistré. Le dictionnaire, les extraits, les réglages et les modèles vocaux ne sont jamais supprimés.	La limpieza del historial elimina las transcripciones y el audio guardado. El diccionario, los fragmentos, los ajustes y los modelos de voz nunca se eliminan.
Delete all history now	Supprimer tout l’historique maintenant	Eliminar todo el historial ahora
Delete all history?	Supprimer tout l’historique ?	¿Eliminar todo el historial?
Delete all history	Supprimer tout l’historique	Eliminar todo el historial
This permanently deletes every completed transcript and its saved audio. Dictionary, Snippets, settings, and speech models stay unchanged.	Cette action supprime définitivement toutes les transcriptions terminées et leur audio enregistré. Le dictionnaire, les extraits, les réglages et les modèles vocaux restent inchangés.	Esto elimina permanentemente todas las transcripciones completadas y el audio guardado. El diccionario, los fragmentos, los ajustes y los modelos de voz no cambian.
Murmure cannot reach %@. Reconnect it before recording new audio.	Murmure ne peut pas accéder à %@. Reconnectez-le avant d’enregistrer un nouvel audio.	Murmure no puede acceder a %@. Vuelve a conectarla antes de grabar audio nuevo.
The external drive was unavailable at launch, so new data is temporarily in %@.	Le disque externe était indisponible au lancement ; les nouvelles données sont temporairement stockées dans %@.	La unidad externa no estaba disponible al iniciar, por lo que los datos nuevos están temporalmente en %@.
Legacy migration runs in the background after launch.	La migration des anciennes données s’exécute en arrière-plan après le lancement.	La migración de datos antiguos se ejecuta en segundo plano después de iniciar.
External drive unavailable; no legacy files were moved.	Disque externe indisponible ; aucun ancien fichier n’a été déplacé.	Unidad externa no disponible; no se movió ningún archivo antiguo.
Using %@ · %@	Utilisation de %@ · %@	Usando %@ · %@
%@ is unavailable. Using %@ for now; your selection is preserved.	%@ est indisponible. %@ est utilisé pour l’instant ; votre sélection est conservée.	%@ no está disponible. Se usará %@ por ahora; tu selección se conserva.
%@ is unavailable. Connect a microphone and try again.	%@ est indisponible. Connectez un microphone et réessayez.	%@ no está disponible. Conecta un micrófono e inténtalo de nuevo.
Built-in	Intégré	Integrado
Aggregate	Agrégé	Agregado
Virtual	Virtuel	Virtual
Continuity	Continuité	Continuidad
Other	Autre	Otro
Audio and history stay on the external drive	L’audio et l’historique restent sur le disque externe	El audio y el historial permanecen en la unidad externa
External drive unavailable; using local fallback	Disque externe indisponible ; stockage local de secours utilisé	Unidad externa no disponible; usando almacenamiento local alternativo
The speech engine returned no text.	Le moteur de reconnaissance n’a renvoyé aucun texte.	El motor de reconocimiento no devolvió texto.
Stop audio recording	Arrêter l’enregistrement audio	Detener grabación de audio
Cleanup	Nettoyage	Limpieza
Right ⌘	⌘ droite	⌘ derecha
Left ⌘	⌘ gauche	⌘ izquierda
Right ⌥	⌥ droite	⌥ derecha
Left ⌥	⌥ gauche	⌥ izquierda
Right ⌃	⌃ droite	⌃ derecha
Left ⌃	⌃ gauche	⌃ izquierda
Right ⇧	⇧ droite	⇧ derecha
Left ⇧	⇧ gauche	⇧ izquierda
Transcription	Transcription	Transcripción
